"seed","learner","failed","raw_mse","norm_mse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","topk_overlap","topk_lift","iteration","treatment_rate","n_treated_train","n_treated_test","sg1_n","sg2_n","sg3_n","true_ate","tau_sd"
42,"rlasso",FALSE,4.213163,0.895024,0.820549,2.2572,0.5687,3.9687,7.7711,7.2148,1.0771,3.1459,3.013,1.0441,0.1329,TRUE,FALSE,0.5,2.2688,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"rboost",FALSE,12.817716,2.722934,NA,5.6976,0.5687,10.018,5.6976,7.2148,0.7897,5.6976,3.013,1.891,2.6846,FALSE,TRUE,0,0.523,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"rkern",FALSE,5.31296,1.12866,0.760306,3.5247,0.5687,6.1975,7.2765,7.2148,1.0086,3.8186,3.013,1.2674,0.8056,TRUE,TRUE,0.375,2.1479,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"slasso",FALSE,6.998526,1.486733,0.800937,1.9361,0.5687,3.4043,9.1597,7.2148,1.2696,2.1747,3.013,0.7218,0.8383,TRUE,FALSE,0.375,2.1791,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"sboost",FALSE,24.062134,5.111644,0.259082,4.2066,0.5687,7.3964,5.6165,7.2148,0.7785,3.6273,3.013,1.2039,0.6143,FALSE,TRUE,0,0.8115,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"skern",FALSE,6.935306,1.473303,0.768113,1.1166,0.5687,1.9633,8.0679,7.2148,1.1182,1.7962,3.013,0.5962,1.2168,TRUE,FALSE,0.375,1.8189,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tlasso",FALSE,9.447659,2.007015,0.789879,0.965,0.5687,1.6967,10.2875,7.2148,1.4259,1.2943,3.013,0.4296,1.7187,TRUE,FALSE,0.5,2.234,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tboost",FALSE,25.345021,5.384175,0.32461,2.6333,0.5687,4.6302,6.4804,7.2148,0.8982,5.276,3.013,1.7511,2.263,TRUE,TRUE,0.125,1.4013,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"tkern",FALSE,7.828519,1.663053,0.523992,2.5474,0.5687,4.4791,7.3772,7.2148,1.0225,2.4236,3.013,0.8044,0.5894,FALSE,FALSE,0.5,1.7148,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xlasso",FALSE,4.025852,0.855233,0.839088,1.9657,0.5687,3.4563,8.2249,7.2148,1.14,2.8192,3.013,0.9357,0.1938,TRUE,FALSE,0.5,2.2688,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xboost",FALSE,11.41887,2.42577,0.781807,5.0474,0.5687,8.8748,7.7321,7.2148,1.0717,5.8838,3.013,1.9528,2.8708,TRUE,TRUE,0.5,2.3368,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"xkern",FALSE,5.884756,1.250129,0.712611,3.9977,0.5687,7.0292,8.4664,7.2148,1.1735,3.8794,3.013,1.2875,0.8664,FALSE,TRUE,0.75,2.4609,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"zero_pred",FALSE,12.734262,2.705206,NA,0,0.5687,0,0,7.2148,0,0,3.013,0,3.013,FALSE,FALSE,0,0.523,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"const_pred",FALSE,181.788477,38.618272,NA,16.1504,0.5687,28.3971,16.1504,7.2148,2.2385,16.1504,3.013,5.3603,13.1374,FALSE,TRUE,0,0.523,1,0.054,24,3,19,5,7,3.1993,2.2369
42,"ols_inter",FALSE,9.026411,1.917528,0.791103,0.7494,0.5687,1.3177,10.2499,7.2148,1.4207,1.1573,3.013,0.3841,1.8557,TRUE,FALSE,0.5,2.234,1,0.054,24,3,19,5,7,3.1993,2.2369
43,"rlasso",FALSE,1.511958,0.28321,0.869032,1.5265,0.6042,2.5264,5.6999,7.1559,0.7965,4.4478,5.3277,0.8349,0.8798,TRUE,FALSE,0.5,1.9686,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"rboost",FALSE,5.337107,0.999713,NA,3.4788,0.6042,5.7575,3.4788,7.1559,0.4862,3.4788,5.3277,0.653,1.8488,FALSE,FALSE,0,1.1706,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"rkern",FALSE,1.809779,0.338996,0.944113,-0.2513,0.6042,-0.4159,4.6974,7.1559,0.6564,3.5148,5.3277,0.6597,1.8129,TRUE,FALSE,0.75,2.2771,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"slasso",FALSE,7.376042,1.381634,0.749939,1.3899,0.6042,2.3002,8.9702,7.1559,1.2535,5.1795,5.3277,0.9722,0.1481,TRUE,FALSE,0.25,1.7223,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"sboost",FALSE,32.417502,6.072242,-0.312132,7.1783,0.6042,11.8801,4.0064,7.1559,0.5599,1.1862,5.3277,0.2226,4.1415,FALSE,FALSE,0,0.7071,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"skern",FALSE,13.214753,2.475304,0.503976,2.5934,0.6042,4.2921,7.6779,7.1559,1.073,4.8951,5.3277,0.9188,0.4326,TRUE,FALSE,0,1.0183,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"tlasso",FALSE,13.931129,2.609491,0.624252,2.0667,0.6042,3.4204,9.4914,7.1559,1.3264,5.6655,5.3277,1.0634,0.3378,TRUE,FALSE,0.125,1.423,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"tboost",FALSE,125.400625,23.489255,-0.532822,17.0714,0.6042,28.2531,6.4396,7.1559,0.8999,3.7375,5.3277,0.7015,1.5902,FALSE,FALSE,0,0.3807,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"tkern",FALSE,76.980795,14.419558,-0.253775,11.5956,0.6042,19.1906,7.7999,7.1559,1.09,5.4958,5.3277,1.0316,0.1682,FALSE,FALSE,0,0.3093,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"xlasso",FALSE,2.583402,0.483907,0.861533,0.5739,0.6042,0.9498,7.5145,7.1559,1.0501,5.3636,5.3277,1.0067,0.0359,TRUE,FALSE,0.5,1.9686,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"xboost",FALSE,2.369857,0.443907,0.802633,1.1787,0.6042,1.9508,7.1499,7.1559,0.9992,4.3057,5.3277,0.8082,1.0219,TRUE,FALSE,0.375,1.9461,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"xkern",FALSE,11.851621,2.219971,0.300758,4.595,0.6042,7.6047,7.2591,7.1559,1.0144,5.0175,5.3277,0.9418,0.3102,TRUE,FALSE,0.25,1.3407,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"zero_pred",FALSE,15.855064,2.969871,NA,0,0.6042,0,0,7.1559,0,0,5.3277,0,5.3277,FALSE,FALSE,0,1.1706,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"const_pred",FALSE,146.765575,27.491203,NA,15.1457,0.6042,25.066,15.1457,7.1559,2.1165,15.1457,5.3277,2.8428,9.818,FALSE,TRUE,0,1.1706,2,0.052,22,4,17,10,11,3.2317,2.2752
43,"ols_inter",FALSE,11.483735,2.151061,0.695771,0.5733,0.6042,0.9489,9.5027,7.1559,1.328,5.8587,5.3277,1.0997,0.5311,TRUE,FALSE,0.25,1.5743,2,0.052,22,4,17,10,11,3.2317,2.2752
44,"rlasso",FALSE,5.505286,0.99119,NA,3.0128,0.5998,5.0228,3.0128,7.664,0.3931,3.0128,5.6291,0.5352,2.6163,FALSE,FALSE,0.125,1.1848,3,0.052,20,6,16,8,13,3.2282,2.201
44,"rboost",FALSE,5.498724,0.990009,NA,3.0872,0.5998,5.1468,3.0872,7.664,0.4028,3.0872,5.6291,0.5484,2.5419,FALSE,FALSE,0.125,1.1848,3,0.052,20,6,16,8,13,3.2282,2.201
44,"rkern",FALSE,3.785758,0.6816,0.79591,1.7746,0.5998,2.9585,3.39,7.664,0.4423,3.282,5.6291,0.583,2.3471,TRUE,FALSE,0.25,2.1324,3,0.052,20,6,16,8,13,3.2282,2.201
44,"slasso",FALSE,5.560478,1.001127,NA,3.3427,0.5998,5.5728,3.3427,7.664,0.4362,3.3427,5.6291,0.5938,2.2864,FALSE,FALSE,0.125,1.1848,3,0.052,20,6,16,8,13,3.2282,2.201
44,"sboost",FALSE,31.53361,5.677417,-0.638088,7.9148,0.5998,13.1951,1.8047,7.664,0.2355,2.8557,5.6291,0.5073,2.7734,FALSE,FALSE,0,0.5446,3,0.052,20,6,16,8,13,3.2282,2.201
44,"skern",FALSE,6.534664,1.176523,0.505366,1.0161,0.5998,1.694,3.189,7.664,0.4161,5.221,5.6291,0.9275,0.4081,FALSE,FALSE,0.125,1.656,3,0.052,20,6,16,8,13,3.2282,2.201
44,"tlasso",FALSE,7.48855,1.348264,0.710924,-0.5065,0.5998,-0.8445,5.26,7.664,0.6863,5.726,5.6291,1.0172,0.0969,FALSE,FALSE,0.25,2.0837,3,0.052,20,6,16,8,13,3.2282,2.201
44,"tboost",FALSE,58.336341,10.50307,-0.318062,11.0346,0.5998,18.3963,7.2134,7.664,0.9412,4.9777,5.6291,0.8843,0.6514,FALSE,FALSE,0,0.4204,3,0.052,20,6,16,8,13,3.2282,2.201
44,"tkern",FALSE,41.819688,7.529356,-0.343585,8.3417,0.5998,13.9068,1.7519,7.664,0.2286,4.9994,5.6291,0.8881,0.6297,FALSE,FALSE,0,0.4204,3,0.052,20,6,16,8,13,3.2282,2.201
44,"xlasso",FALSE,2.767821,0.498328,0.782279,0.5134,0.5998,0.8559,5.067,7.664,0.6611,4.7603,5.6291,0.8457,0.8688,TRUE,FALSE,0.25,1.9664,3,0.052,20,6,16,8,13,3.2282,2.201
44,"xboost",FALSE,3.669305,0.660634,0.625906,1.8924,0.5998,3.1549,5.1091,7.664,0.6666,4.598,5.6291,0.8168,1.0311,TRUE,FALSE,0.125,1.793,3,0.052,20,6,16,8,13,3.2282,2.201
44,"xkern",FALSE,5.488611,0.988188,0.159061,2.6638,0.5998,4.441,3.2011,7.664,0.4177,3.6694,5.6291,0.6519,1.9597,FALSE,FALSE,0.375,1.8418,3,0.052,20,6,16,8,13,3.2282,2.201
44,"zero_pred",FALSE,15.072232,2.713655,NA,0,0.5998,0,0,7.664,0,0,5.6291,0,5.6291,FALSE,FALSE,0.125,1.1848,3,0.052,20,6,16,8,13,3.2282,2.201
44,"const_pred",FALSE,92.815462,16.710806,NA,12.4385,0.5998,20.7367,12.4385,7.664,1.623,12.4385,5.6291,2.2097,6.8094,FALSE,TRUE,0.125,1.1848,3,0.052,20,6,16,8,13,3.2282,2.201
44,"ols_inter",FALSE,9.628716,1.733586,0.728676,-1.2895,0.5998,-2.1498,5.3854,7.664,0.7027,5.8923,5.6291,1.0468,0.2632,FALSE,FALSE,0.25,2.0837,3,0.052,20,6,16,8,13,3.2282,2.201
45,"rlasso",FALSE,6.185026,1.134368,NA,3.9523,0.6161,6.4154,3.9523,7.5406,0.5241,3.9523,4.4968,0.8789,0.5446,FALSE,FALSE,0,0.9891,4,0.052,20,6,17,8,12,3.2156,2.1887
45,"rboost",FALSE,6.084568,1.115943,NA,3.8937,0.6161,6.3204,3.8937,7.5406,0.5164,3.8937,4.4968,0.8659,0.6031,FALSE,FALSE,0,0.9891,4,0.052,20,6,17,8,12,3.2156,2.1887
45,"rkern",FALSE,3.649927,0.669417,0.865541,-0.6626,0.6161,-1.0756,8.9571,7.5406,1.1878,3.2837,4.4968,0.7302,1.2132,TRUE,FALSE,0.5,2.1904,4,0.052,20,6,17,8,12,3.2156,2.1887
45,"slasso",FALSE,7.997887,1.466857,0.852288,-2.1314,0.6161,-3.4597,10.0178,7.5406,1.3285,2.2783,4.4968,0.5066,2.2185,TRUE,FALSE,0.5,2.2499,4,0.052,20,6,17,8,12,3.2156,2.1887
