"learner","failed","norm_mse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","n","n_train","n_test","n_treated_train","n_treated_test","true_ate","tau_sd","sg1_n","sg2_n","sg3_n"
"rkern",FALSE,0.4231,0.8086,-0.143,0.635,-0.225,5.176,6.504,0.796,2.249,4.332,0.519,2.083,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"xlasso",FALSE,0.4726,0.8268,-0.234,0.635,-0.368,6.219,6.504,0.956,2.668,4.332,0.616,1.664,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"rlasso",FALSE,0.7315,0.6739,0.374,0.635,0.589,4.371,6.504,0.672,1.996,4.332,0.461,2.336,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"slasso",FALSE,0.8552,0.7018,0.707,0.635,1.114,6.398,6.504,0.984,2.395,4.332,0.553,1.937,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"ols_inter",FALSE,0.9093,0.7408,-0.673,0.635,-1.061,6.082,6.504,0.935,2.245,4.332,0.518,2.087,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"rboost",FALSE,1.0154,-0.3994,3.599,0.635,5.67,3.529,6.504,0.543,3.472,4.332,0.802,0.86,FALSE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"tlasso",FALSE,1.4037,0.5396,2.036,0.635,3.208,6.376,6.504,0.98,2.51,4.332,0.579,1.822,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"zero_pred",FALSE,3.5424,NA,0,0.635,0,0,6.504,0,0,4.332,0,4.332,FALSE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"skern",FALSE,3.9146,0.9074,-8.086,0.635,-12.739,5.295,6.504,0.814,2.493,4.332,0.575,1.839,TRUE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"xboost",FALSE,4.1534,-0.8169,5.795,0.635,9.13,0.698,6.504,0.107,-1.518,4.332,-0.35,5.85,FALSE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"sboost",FALSE,9.4872,-0.6716,11.256,0.635,17.733,1.008,6.504,0.155,1.982,4.332,0.457,2.351,FALSE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"const_pred",FALSE,45.8413,NA,17.593,0.635,27.717,17.593,6.504,2.705,17.593,4.332,4.061,13.261,FALSE,TRUE,300,240,60,15,8,3.2106,2.2692,9,5,9
"tboost",FALSE,52.2691,-0.8877,-2.394,0.635,-3.772,-14,6.504,-2.153,-13.725,4.332,-3.168,18.057,FALSE,FALSE,300,240,60,15,8,3.2106,2.2692,9,5,9
"tkern",TRUE,NA,NA,NA,0.635,NA,NA,6.504,NA,NA,4.332,NA,NA,NA,NA,300,240,60,15,8,3.2106,2.2692,9,5,9
"xkern",TRUE,NA,NA,NA,0.635,NA,NA,6.504,NA,NA,4.332,NA,NA,NA,NA,300,240,60,15,8,3.2106,2.2692,9,5,9
