"learner","n_valid","n_failed","iqr_mean","iqr_sd","iqr_ci_lo","iqr_ci_hi","spread_sd_mean","bias_mean","bias_sd","mse_median","rmse_median","rmse_mean","rmse_sd","pass_cal_rate","fp_sg1_rate","fp_sg2_rate","fp_sg3_rate"
"rlasso",100,0,0.1161,0.1974,0.0774,0.1548,0.0772,0.0136,0.1485,0.0451,0.158740078740118,0.166990256498642,0.13205582778139,0.74,0.56,0.59,0.57
"rboost",100,0,0.2223,0.2567,0.172,0.2726,0.1523,0.0411,0.1595,0.0799,0.183846958472046,0.226802125898131,0.169425039853565,0.59,0.63,0.58,0.56
"rkern",100,0,0.2027,0.248,0.1541,0.2513,0.1779,0.0329,0.1573,0.0946,0.208295547954379,0.253037576441183,0.175717820476762,0.63,0.61,0.6,0.61
"slasso",100,0,0.16,0.191,0.1225,0.1974,0.1073,0.055,0.1468,0.0524,0.176492204889581,0.192486054301862,0.124515703846319,0.65,0.56,0.59,0.56
"sboost",100,0,0.2284,0.1258,0.2037,0.2531,0.1682,0.0178,0.0954,0.0457,0.176486747496504,0.18686064056419,0.104301917082146,0.45,0.4,0.32,0.41
"skern",100,0,0.2014,0.1579,0.1704,0.2323,0.1473,0.0327,0.128,0.0519,0.159373774505092,0.189422464340551,0.127319410642748,0.63,0.48,0.36,0.54
"tlasso",100,0,0.3529,0.1615,0.3213,0.3846,0.2439,0.0445,0.1492,0.094,0.279105484772485,0.285560585354824,0.112394291938756,0.16,0.66,0.69,0.73
"tboost",100,0,0.4073,0.1489,0.3781,0.4364,0.2914,0.0713,0.1557,0.1241,0.316773514416542,0.330941830626281,0.121224829697042,0.09,0.64,0.65,0.67
"tkern",100,0,0.3758,0.1499,0.3464,0.4052,0.286,0.0542,0.1571,0.1214,0.314080639949273,0.325390330576932,0.125251797975098,0.13,0.57,0.65,0.73
"xlasso",100,0,0.1919,0.1601,0.1606,0.2233,0.1375,0.0311,0.1464,0.0522,0.183555386651111,0.19848397612926,0.113933842312814,0.64,0.54,0.54,0.55
"xboost",100,0,0.2073,0.1139,0.185,0.2296,0.1511,0.0462,0.1538,0.0552,0.188942768416185,0.209625598950005,0.10652503980713,0.49,0.55,0.53,0.53
"xkern",100,0,0.222,0.1561,0.1914,0.2526,0.1744,0.0345,0.1496,0.066,0.207364273346173,0.224404725819773,0.12588482402157,0.49,0.55,0.48,0.53
"const_pred",100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"zero_pred",100,0,0,0,0,0,0,-0.01,0,1e-04,0.01,0.01,0,1,0,0,0
"ols_inter",100,0,0.4473,0.154,0.4171,0.4775,0.3126,0.018,0.1539,0.13,0.330587203222862,0.34506953994368,0.105275073085649,0.05,0.64,0.6,0.76
