"learner","metric","value","metric_group","base_method","meta_type"
"ols_inter","mse_median",5.377728,"MSE","ols","OLS"
"ols_inter","mse_p10",2.164876,"MSE","ols","OLS"
"ols_inter","mse_p25",3.635511,"MSE","ols","OLS"
"ols_inter","mse_p75",7.88995,"MSE","ols","OLS"
"ols_inter","mse_p90",10.952588,"MSE","ols","OLS"
"ols_inter","mse_mean",6.066148,"MSE","ols","OLS"
"ols_inter","nmse_median",0.36195,"nMSE","ols","OLS"
"ols_inter","nmse_p10",0.15569,"nMSE","ols","OLS"
"ols_inter","nmse_p25",0.24785,"nMSE","ols","OLS"
"ols_inter","nmse_p75",0.512225,"nMSE","ols","OLS"
"ols_inter","nmse_p90",0.74621,"nMSE","ols","OLS"
"ols_inter","nmse_mean",0.411012,"nMSE","ols","OLS"
"ols_inter","pct_beats_zero",0.978261,"vs_zero_pred","ols","OLS"
"ols_inter","pct_worse_zero",0.021739,"vs_zero_pred","ols","OLS"
"ols_inter","rank_corr_mean",0.816725,"rank_correlation","ols","OLS"
"ols_inter","rank_corr_sd",0.129902,"rank_correlation","ols","OLS"
"ols_inter","rank_corr_p10",0.65163,"rank_correlation","ols","OLS"
"ols_inter","rank_corr_p50",0.84525,"rank_correlation","ols","OLS"
"ols_inter","rank_corr_p90",0.94212,"rank_correlation","ols","OLS"
"ols_inter","sign_sg1_rate",0.967391,"sign_recovery","ols","OLS"
"ols_inter","sign_sg2_rate",0.880435,"sign_recovery","ols","OLS"
"ols_inter","sign_both_rate",0.847826,"sign_recovery","ols","OLS"
"ols_inter","sign_sg2_ate_q1",0.956522,"sign_recovery","ols","OLS"
"ols_inter","sign_sg2_ate_q4",0.782609,"sign_recovery","ols","OLS"
"ols_inter","rec_sg1_p10",0.27114,"recovery_ratio_sg1","ols","OLS"
"ols_inter","rec_sg1_p25",0.448725,"recovery_ratio_sg1","ols","OLS"
"ols_inter","rec_sg1_p50",0.6702,"recovery_ratio_sg1","ols","OLS"
"ols_inter","rec_sg1_p75",0.87325,"recovery_ratio_sg1","ols","OLS"
"ols_inter","rec_sg1_p90",1.03042,"recovery_ratio_sg1","ols","OLS"
"ols_inter","rec_sg2_p10",-0.03793,"recovery_ratio_sg2","ols","OLS"
"ols_inter","rec_sg2_p25",0.204825,"recovery_ratio_sg2","ols","OLS"
"ols_inter","rec_sg2_p50",0.5619,"recovery_ratio_sg2","ols","OLS"
"ols_inter","rec_sg2_p75",1.011925,"recovery_ratio_sg2","ols","OLS"
"ols_inter","rec_sg2_p90",1.22464,"recovery_ratio_sg2","ols","OLS"
"ols_inter","ate_bias_mean",0.095476,"ate_bias","ols","OLS"
"ols_inter","ate_bias_sd",1.078548,"ate_bias","ols","OLS"
"ols_inter","bias_sq",1.16606,"other","ols","OLS"
"ols_inter","variance",4.900089,"other","ols","OLS"
"ols_inter","norm_bias_sq",0.078268,"bias_variance","ols","OLS"
"ols_inter","norm_variance",0.332744,"bias_variance","ols","OLS"
"rboost","mse_median",12.585269,"MSE","boost","R-learner"
"rboost","mse_p10",6.641478,"MSE","boost","R-learner"
"rboost","mse_p25",9.020508,"MSE","boost","R-learner"
"rboost","mse_p75",15.752065,"MSE","boost","R-learner"
"rboost","mse_p90",18.27944,"MSE","boost","R-learner"
"rboost","mse_mean",12.585731,"MSE","boost","R-learner"
"rboost","nmse_median",0.8682,"nMSE","boost","R-learner"
"rboost","nmse_p10",0.44126,"nMSE","boost","R-learner"
"rboost","nmse_p25",0.5985,"nMSE","boost","R-learner"
"rboost","nmse_p75",1.040875,"nMSE","boost","R-learner"
"rboost","nmse_p90",1.21927,"nMSE","boost","R-learner"
"rboost","nmse_mean",0.85026,"nMSE","boost","R-learner"
"rboost","pct_beats_zero",0.755435,"vs_zero_pred","boost","R-learner"
"rboost","pct_worse_zero",0.244565,"vs_zero_pred","boost","R-learner"
"rboost","rank_corr_mean",0.652322,"rank_correlation","boost","R-learner"
"rboost","rank_corr_sd",0.168127,"rank_correlation","boost","R-learner"
"rboost","rank_corr_p10",0.40359,"rank_correlation","boost","R-learner"
"rboost","rank_corr_p50",0.6912,"rank_correlation","boost","R-learner"
"rboost","rank_corr_p90",0.83123,"rank_correlation","boost","R-learner"
"rboost","sign_sg1_rate",0.875,"sign_recovery","boost","R-learner"
"rboost","sign_sg2_rate",0.592391,"sign_recovery","boost","R-learner"
"rboost","sign_both_rate",0.467391,"sign_recovery","boost","R-learner"
"rboost","sign_sg2_ate_q1",0.652174,"sign_recovery","boost","R-learner"
"rboost","sign_sg2_ate_q4",0.608696,"sign_recovery","boost","R-learner"
"rboost","rec_sg1_p10",-0.06508,"recovery_ratio_sg1","boost","R-learner"
"rboost","rec_sg1_p25",0.174025,"recovery_ratio_sg1","boost","R-learner"
"rboost","rec_sg1_p50",0.4275,"recovery_ratio_sg1","boost","R-learner"
"rboost","rec_sg1_p75",0.71675,"recovery_ratio_sg1","boost","R-learner"
"rboost","rec_sg1_p90",0.98166,"recovery_ratio_sg1","boost","R-learner"
"rboost","rec_sg2_p10",-0.67739,"recovery_ratio_sg2","boost","R-learner"
"rboost","rec_sg2_p25",-0.307425,"recovery_ratio_sg2","boost","R-learner"
"rboost","rec_sg2_p50",0.2039,"recovery_ratio_sg2","boost","R-learner"
"rboost","rec_sg2_p75",0.780025,"recovery_ratio_sg2","boost","R-learner"
"rboost","rec_sg2_p90",1.1356,"recovery_ratio_sg2","boost","R-learner"
"rboost","ate_bias_mean",0.057327,"ate_bias","boost","R-learner"
"rboost","ate_bias_sd",1.223423,"ate_bias","boost","R-learner"
"rboost","bias_sq",1.491916,"other","boost","R-learner"
"rboost","variance",11.093814,"other","boost","R-learner"
"rboost","norm_bias_sq",0.10014,"bias_variance","boost","R-learner"
"rboost","norm_variance",0.75012,"bias_variance","boost","R-learner"
"rkern","mse_median",5.068732,"MSE","kernel","R-learner"
"rkern","mse_p10",1.914181,"MSE","kernel","R-learner"
"rkern","mse_p25",2.939851,"MSE","kernel","R-learner"
"rkern","mse_p75",8.803939,"MSE","kernel","R-learner"
"rkern","mse_p90",13.211094,"MSE","kernel","R-learner"
"rkern","mse_mean",32.517362,"MSE","kernel","R-learner"
"rkern","nmse_median",0.34485,"nMSE","kernel","R-learner"
"rkern","nmse_p10",0.13164,"nMSE","kernel","R-learner"
"rkern","nmse_p25",0.200725,"nMSE","kernel","R-learner"
"rkern","nmse_p75",0.572275,"nMSE","kernel","R-learner"
"rkern","nmse_p90",0.87662,"nMSE","kernel","R-learner"
"rkern","nmse_mean",1.961935,"nMSE","kernel","R-learner"
"rkern","pct_beats_zero",0.929348,"vs_zero_pred","kernel","R-learner"
"rkern","pct_worse_zero",0.070652,"vs_zero_pred","kernel","R-learner"
