"iter","seed","tau_mean","tau_sd","tau_p5","tau_p25","tau_p50","tau_p75","tau_p95","tau_min","tau_max","pct_beneficial","n_treated","n_control","pct_treated","propensity_mean","propensity_sd","propensity_p5","propensity_p95","ATT","ATC","ATT_ATC_gap","prop_tau_corr","snr","overlap_min","overlap_max","pct_near_boundary"
1,1,-0.7,3.84535048894112,-6.92461774179975,-3.4294641472053,-0.746828715628024,1.87392147714575,6.00805053995893,-10.0221583630744,9.28532062755562,0.583333333333333,123,177,0.41,0.417970262096938,0.295144860217858,0.05,0.886651568475932,-2.08249333044121,0.26071570420491,-2.34320903464612,-0.449139665548542,0.769070097788223,0.05,0.95,0.13
2,2,-0.7,3.96757138137936,-7.30786740012381,-3.36946516180822,-0.791600761834093,2.24099765435655,5.90677706875395,-10.7262230450229,9.58568138846244,0.54,123,177,0.41,0.428927269884262,0.298866754087712,0.05,0.870500285626611,-1.74468639830154,0.0259685140739535,-1.7706549123755,-0.367488772601001,0.793514276275871,0.05,0.931489365801883,0.13
3,3,-0.699999999999999,3.86634338069638,-7.37103918840962,-3.46461719200314,-0.751204298719825,2.3158841893309,5.33198207177399,-9.94342417869915,7.59234759801592,0.566666666666667,125,175,0.416666666666667,0.418129674764363,0.291781442112862,0.05,0.905476037241627,-1.72000806970014,0.0285771926429617,-1.74858526234311,-0.375986195184212,0.773268676139277,0.05,0.95,0.146666666666667
4,4,-0.700000000000001,3.77284236319766,-7.13860444903395,-3.19219600357816,-0.688571205189439,1.67628271131377,5.82938435049342,-9.99223860435022,9.28361441270519,0.583333333333333,140,160,0.466666666666667,0.418876112170636,0.295556810016673,0.05,0.904661345972048,-1.9302613971261,0.376478722485339,-2.30674011961144,-0.368881847767201,0.754568472639531,0.05,0.95,0.163333333333333
5,5,-0.700000000000001,3.74712887172769,-7.45432779511201,-3.16126147281098,-0.380029466435311,2.0283250598919,5.30170380435711,-9.73633893195398,8.86421716001845,0.55,128,172,0.426666666666667,0.423243319222165,0.289233771093008,0.05,0.893387934688101,-1.44698370206619,-0.144105151950742,-1.30287855011545,-0.383437962900185,0.749425774345538,0.05,0.95,0.183333333333333
6,6,-0.699999999999999,3.94992830225459,-7.2911338300967,-3.31843900466653,-0.530359408721215,1.85381151642325,5.80749167283339,-9.65091234933828,9.0268570522822,0.533333333333333,133,167,0.443333333333333,0.41843172981165,0.293711884665099,0.05,0.89775557692984,-1.97535910708551,0.315705157139955,-2.29106426422546,-0.413121414239309,0.789985660450918,0.05,0.95,0.133333333333333
7,7,-0.700000000000001,4.09546030001085,-7.0702598286297,-3.86650230769369,-0.813528539116986,2.10176372176222,5.92642080224296,-11.3279200803123,9.62579811889669,0.58,119,181,0.396666666666667,0.420666366583426,0.293504646322265,0.05,0.892137290665846,-2.49753903395529,0.481807431163975,-2.97934646511927,-0.491911741266776,0.81909206000217,0.05,0.938206810801271,0.153333333333333
8,8,-0.7,3.82268310792087,-7.13813646876774,-3.29675666023957,-0.671156879518821,2.35385384068299,4.99014881167289,-11.4296904709418,8.66646210740684,0.576666666666667,125,175,0.416666666666667,0.419120539662508,0.297843603320091,0.0507067959551193,0.901948719958366,-1.88710428368989,0.147931631207064,-2.03503591489695,-0.403750986154845,0.764536621584175,0.05,0.95,0.143333333333333
9,9,-0.700000000000001,3.93208886823936,-7.39815501254251,-3.59055690628437,-0.605631592469614,2.03848345172707,5.89395913842891,-10.7785703860068,8.48830531790523,0.57,115,185,0.383333333333333,0.420782359519986,0.288401649904787,0.05,0.891487384237611,-1.65978422496834,-0.103377373668329,-1.55640685130001,-0.44174500675423,0.786417773647872,0.05,0.95,0.133333333333333
10,10,-0.699999999999999,3.8270226930339,-6.58704134077395,-3.32155147540091,-0.987703701095155,2.06062547038901,5.68455349201177,-10.2092133168056,8.1124553050911,0.573333333333333,126,174,0.42,0.425381514874408,0.301001299386362,0.05,0.897637077678417,-1.83770204898648,0.123853207886763,-1.96155525687324,-0.363940188500898,0.765404538606779,0.05,0.95,0.146666666666667
11,11,-0.700000000000001,3.83513217031202,-6.98411803210599,-3.26443919943247,-1.02578583578747,2.142939264849,5.30541812386761,-11.2003162546041,9.12319886458011,0.56,127,173,0.423333333333333,0.424282872785018,0.298136189819255,0.05,0.892014143894333,-1.52610145000734,-0.0935555829425877,-1.43254586706476,-0.373182255627584,0.767026434062404,0.05,0.95,0.156666666666667
12,12,-0.699999999999999,3.99816603427507,-7.30373284120358,-3.40305937231847,-0.568957886711682,2.45326892256637,5.63256872024295,-9.91741759933516,9.56999034304422,0.573333333333333,120,180,0.4,0.417243885452971,0.283331853718813,0.05,0.906361767156778,-1.62547295089455,-0.0830180327369667,-1.54245491815758,-0.414637485884705,0.799633206855013,0.05,0.95,0.196666666666667
13,13,-0.699999999999999,3.78258966302815,-6.4310679213089,-3.37885480454792,-0.627693591482217,1.72478114433339,6.0371167927381,-11.3580908477498,7.9189612173088,0.566666666666667,123,177,0.41,0.424016404398601,0.290603996483468,0.05,0.869711412902482,-1.49408524047642,-0.148178053228252,-1.34590718724817,-0.339707760812059,0.756517932605631,0.05,0.95,0.166666666666667
14,14,-0.699999999999999,3.67865337357641,-6.87055164535358,-3.20259279975965,-0.794849033268966,1.93196625004631,5.39493319311778,-9.78818066253648,8.58824831093231,0.563333333333333,115,185,0.383333333333333,0.417623007754374,0.298473837544214,0.0536311767777611,0.894992287725417,-1.91117969505173,0.0528954861132408,-1.96407518116497,-0.339563880584029,0.735730674715282,0.05,0.95,0.156666666666667
15,15,-0.700000000000001,3.83556334553087,-7.18831990326652,-3.49487198368458,-0.539752589917417,2.28635788667125,4.94044948591112,-10.3594218239321,8.74032048816399,0.556666666666667,123,177,0.41,0.426643311116206,0.291778849841361,0.05,0.872008623233916,-1.97661337461849,0.187138107785727,-2.16375148240421,-0.355523859253123,0.767112669106175,0.05,0.935034536045529,0.143333333333333
16,16,-0.7,3.72998866106703,-6.83057894897573,-2.89677867804141,-0.825762736018821,2.06884908119332,5.32471738962065,-11.7017795777916,10.01794345081,0.566666666666667,118,182,0.393333333333333,0.422217342965944,0.291560592954179,0.05,0.887129992020114,-1.60695130679115,-0.111976625267274,-1.49497468152388,-0.326866552711983,0.745997732213406,0.05,0.95,0.163333333333333
17,17,-0.7,3.82654078314418,-7.14196208295975,-3.43878545739562,-0.387242315871375,1.63057628054547,5.62560647306183,-9.25833420496449,8.31781114730628,0.553333333333333,129,171,0.43,0.420809743099702,0.296518771969136,0.05,0.907621017822716,-1.12858262689277,-0.376683281466862,-0.751899345425904,-0.375923811147426,0.765308156628835,0.05,0.95,0.166666666666667
18,18,-0.700000000000001,3.72593363005042,-6.69383285622968,-3.07552576408155,-0.74080891736761,1.47015427129895,5.47561758969134,-12.0889272840964,9.82416357854765,0.566666666666667,127,173,0.423333333333333,0.419366642985703,0.291543700177539,0.05,0.892574734121183,-1.66681490132484,0.00974273103037439,-1.67655763235522,-0.339858404203294,0.745186726010084,0.05,0.95,0.16
19,19,-0.7,3.90753075718261,-7.5429348786483,-3.25150128922038,-0.702165259942412,2.00407695190793,5.75782806470225,-10.2407412111287,9.58771390771263,0.563333333333333,124,176,0.413333333333333,0.415527945740768,0.294874620637292,0.05,0.904568100097851,-1.73973366291806,0.0325396261468166,-1.77227328906488,-0.381838742372572,0.781506151436521,0.05,0.95,0.116666666666667
20,20,-0.7,3.8702810349537,-7.1197140400153,-3.39970488633216,-0.825872896904207,2.15303706408222,5.49747852748608,-10.4311466905874,9.31321700989835,0.573333333333333,131,169,0.436666666666667,0.417670105062023,0.294472316310897,0.0527480463188579,0.877585667490278,-1.56463359591932,-0.0297810587844348,-1.53485253713488,-0.381952445100547,0.77405620699074,0.05,0.95,0.14
21,21,-0.699999999999999,3.73837548317006,-6.86705021881805,-3.14771184159798,-0.836331311049542,1.75246527286785,5.9875615780593,-9.65300726911837,8.15695136155757,0.593333333333333,123,177,0.41,0.426226500650162,0.278898024868278,0.05,0.881317827726077,-1.68984393027205,-0.0121423535397579,-1.6777015767323,-0.329536222262873,0.747675096634011,0.05,0.95,0.16
22,22,-0.7,3.98970437692038,-7.86065178518278,-3.31016505738845,-0.411921868448086,2.22998044126458,5.32202680363324,-10.8953415068077,8.8012741014857,0.543333333333333,119,181,0.396666666666667,0.419337585075164,0.291676506613862,0.05,0.891854144521084,-2.23460429817956,0.308938737477168,-2.54354303565673,-0.459682800814145,0.797940875384076,0.05,0.95,0.143333333333333
23,23,-0.699999999999999,3.74948183070404,-6.51062422765149,-3.33890458547702,-0.954630844679621,1.91197183521642,6.08515978654193,-9.91352298889426,8.20511341477419,0.61,131,169,0.436666666666667,0.424334919852712,0.288913004855754,0.05,0.886701685492078,-1.94662556162859,0.26631922232749,-2.21294478395608,-0.348713463174062,0.749896366140808,0.05,0.95,0.183333333333333
